Цикл №126: Общая прибыль: 100411.08, Общие затраты: 24870.00, Разница: 75541.08, Среднее на складе: 1.20
Цикл №127: Общая прибыль: 99340.41, Общие затраты: 22340.00, Разница: 77000.41, Среднее на складе: 12.20
Цикл №128: Общая прибыль: 99188.84, Общие затраты: 22240.00, Разница: 76948.84, Среднее на складе: 5.70
Цикл №129: Общая прибыль: 99604.09, Общие затраты: 23190.00, Разница: 76414.09, Среднее на складе: 7.50
Цикл №130: Общая прибыль: 100431.12, Общие затраты: 23930.00, Разница: 76501.12, Среднее на складе: 3.90
Цикл №131: Общая прибыль: 100157.82, Общие затраты: 22460.00, Разница: 77697.82, Среднее на складе: 7.90
Цикл №132: Общая прибыль: 100566.67, Общие затраты: 23710.00, Разница: 76856.67, Среднее на складе: 3.90
Цикл №133: Общая прибыль: 100207.93, Общие затраты: 23580.00, Разница: 76627.93, Среднее на складе: 4.80
Цикл №134: Общая прибыль: 99988.66, Общие затраты: 24510.00, Разница: 75478.66, Среднее на складе: 0.90
Цикл №135: Общая прибыль: 100555.41, Общие затраты: 24810.00, Разница: 75745.41, Среднее на складе: 1.70
Цикл №136: Общая прибыль: 99091.10, Общие затраты: 24610.00, Разница: 74481.10, Среднее на складе: 4.10
Цикл №137: Общая прибыль: 99474.34, Общие затраты: 22590.00, Разница: 76884.34, Среднее на складе: 8.10
Цикл №138: Общая прибыль: 100021.11, Общие затраты: 25620.00, Разница: 74401.11, Среднее на складе: -0.10
Цикл №139: Общая прибыль: 100355.03, Общие затраты: 25490.00, Разница: 74865.03, Среднее на складе: -0.30
Цикл №140: Общая прибыль: 99802.12, Общие затраты: 23680.00, Разница: 76122.12, Среднее на складе: 6.90
Цикл №141: Общая прибыль: 98722.63, Общие затраты: 21580.00, Разница: 77142.63, Среднее на складе: 12.30
Цикл №142: Общая прибыль: 100667.22, Общие затраты: 24980.00, Разница: 75687.22, Среднее на складе: 0.10
Цикл №143: Общая прибыль: 99668.48, Общие затраты: 24790.00, Разница: 74878.48, Среднее на складе: 2.60
Цикл №144: Общая прибыль: 100444.11, Общие затраты: 24540.00, Разница: 75904.11, Среднее на складе: 2.30
Цикл №145: Общая прибыль: 99621.15, Общие затраты: 24400.00, Разница: 75221.15, Среднее на складе: 2.00
Цикл №146: Общая прибыль: 99773.56, Общие затраты: 24990.00, Разница: 74783.56, Среднее на складе: 4.60
Цикл №147: Общая прибыль: 99798.05, Общие затраты: 22880.00, Разница: 76918.05, Среднее на складе: 8.80
Цикл №148: Общая прибыль: 99598.43, Общие затраты: 23360.00, Разница: 76238.43, Среднее на складе: 5.90
Цикл №149: Общая прибыль: 99724.34, Общие затраты: 24860.00, Разница: 74864.34, Среднее на складе: 4.40
Цикл №150: Общая прибыль: 100080.48, Общие затраты: 22420.00, Разница: 77660.48, Среднее на складе: 7.50
Цикл №151: Общая прибыль: 100037.73, Общие затраты: 24870.00, Разница: 75167.73, Среднее на складе: 2.30
Цикл №152: Общая прибыль: 99585.93, Общие затраты: 24530.00, Разница: 75055.93, Среднее на складе: 6.60
Цикл №153: Общая прибыль: 100356.18, Общие затраты: 23180.00, Разница: 77176.18, Среднее на складе: 8.50
Цикл №154: Общая прибыль: 99861.22, Общие затраты: 23940.00, Разница: 75921.22, Среднее на складе: 1.80
Цикл №155: Общая прибыль: 100013.19, Общие затраты: 24590.00, Разница: 75423.19, Среднее на складе: 3.90
Цикл №156: Общая прибыль: 100394.88, Общие затраты: 25050.00, Разница: 75344.88, Среднее на складе: 1.90
Цикл №157: Общая прибыль: 99973.57, Общие затраты: 22170.00, Разница: 77803.57, Среднее на складе: 10.50
Цикл №158: Общая прибыль: 100302.16, Общие затраты: 24230.00, Разница: 76072.16, Среднее на складе: 3.60
Цикл №159: Общая прибыль: 100684.25, Общие затраты: 25170.00, Разница: 75514.25, Среднее на складе: 0.90
Цикл №160: Общая прибыль: 100578.72, Общие затраты: 23850.00, Разница: 76728.72, Среднее на складе: 5.30
Цикл №161: Общая прибыль: 100197.56, Общие затраты: 26920.00, Разница: 73277.56, Среднее на складе: -1.40
Цикл №162: Общая прибыль: 99988.97, Общие затраты: 24250.00, Разница: 75738.97, Среднее на складе: 4.90
Цикл №163: Общая прибыль: 99302.82, Общие затраты: 22420.00, Разница: 76882.82, Среднее на складе: 11.90
Цикл №164: Общая прибыль: 99988.14, Общие затраты: 24890.00, Разница: 75098.14, Среднее на складе: 2.50
Цикл №165: Общая прибыль: 100305.36, Общие затраты: 24240.00, Разница: 76065.36, Среднее на складе: 1.50
Цикл №166: Общая прибыль: 99349.30, Общие затраты: 24980.00, Разница: 74369.30, Среднее на складе: 2.30
Цикл №167: Общая прибыль: 99764.61, Общие затраты: 25640.00, Разница: 74124.61, Среднее на складе: 4.50
Цикл №168: Общая прибыль: 100221.40, Общие затраты: 24070.00, Разница: 76151.40, Среднее на складе: 4.20
Цикл №169: Общая прибыль: 99625.70, Общие затраты: 26750.00, Разница: 72875.70, Среднее на складе: -2.00
Цикл №170: Общая прибыль: 100118.75, Общие затраты: 24270.00, Разница: 75848.75, Среднее на складе: 4.00
Цикл №171: Общая прибыль: 99966.93, Общие затраты: 24150.00, Разница: 75816.93, Среднее на складе: 6.10
Цикл №172: Общая прибыль: 99638.01, Общие затраты: 24890.00, Разница: 74748.01, Среднее на складе: 5.80
Цикл №173: Общая прибыль: 100286.50, Общие затраты: 25610.00, Разница: 74676.50, Среднее на складе: -2.40
Цикл №174: Общая прибыль: 100370.05, Общие затраты: 26080.00, Разница: 74290.05, Среднее на складе: -1.00
Цикл №175: Общая прибыль: 100104.44, Общие затраты: 24460.00, Разница: 75644.44, Среднее на складе: 1.50
Цикл №176: Общая прибыль: 100925.09, Общие затраты: 23430.00, Разница: 77495.09, Среднее на складе: 0.00
Цикл №177: Общая прибыль: 100931.89, Общие затраты: 24210.00, Разница: 76721.89, Среднее на складе: 3.40
Цикл №178: Общая прибыль: 100789.60, Общие затраты: 27730.00, Разница: 73059.60, Среднее на складе: -3.20
Цикл №179: Общая прибыль: 100427.49, Общие затраты: 24540.00, Разница: 75887.49, Среднее на складе: 3.40
Цикл №180: Общая прибыль: 100072.84, Общие затраты: 25120.00, Разница: 74952.84, Среднее на складе: 2.60
Цикл №181: Общая прибыль: 100433.02, Общие затраты: 24560.00, Разница: 75873.02, Среднее на складе: 3.60
Цикл №182: Общая прибыль: 99972.16, Общие затраты: 23460.00, Разница: 76512.16, Среднее на складе: 2.50
Цикл №183: Общая прибыль: 99759.10, Общие затраты: 24670.00, Разница: 75089.10, Среднее на складе: 2.50
Цикл №184: Общая прибыль: 100229.98, Общие затраты: 25420.00, Разница: 74809.98, Среднее на складе: 2.30
Цикл №185: Общая прибыль: 100071.28, Общие затраты: 22640.00, Разница: 77431.28, Среднее на складе: 9.70
Цикл №186: Общая прибыль: 99216.28, Общие затраты: 23500.00, Разница: 75716.28, Среднее на складе: 9.50
Цикл №187: Общая прибыль: 100224.62, Общие затраты: 24090.00, Разница: 76134.62, Среднее на складе: 8.80
Цикл №188: Общая прибыль: 100203.07, Общие затраты: 23300.00, Разница: 76903.07, Среднее на складе: 5.30
Цикл №189: Общая прибыль: 99416.85, Общие затраты: 22130.00, Разница: 77286.85, Среднее на складе: 7.90
Цикл №190: Общая прибыль: 100243.13, Общие затраты: 22570.00, Разница: 77673.13, Среднее на складе: 6.80
Цикл №191: Общая прибыль: 99539.92, Общие затраты: 24650.00, Разница: 74889.92, Среднее на складе: 1.20
Цикл №192: Общая прибыль: 99430.91, Общие затраты: 23700.00, Разница: 75730.91, Среднее на складе: 6.00
Цикл №193: Общая прибыль: 100052.10, Общие затраты: 24230.00, Разница: 75822.10, Среднее на складе: 1.40
Цикл №194: Общая прибыль: 98646.09, Общие затраты: 23160.00, Разница: 75486.09, Среднее на складе: 8.30
Цикл №195: Общая прибыль: 99904.56, Общие затраты: 24360.00, Разница: 75544.56, Среднее на складе: 4.90
Цикл №196: Общая прибыль: 99722.62, Общие затраты: 23850.00, Разница: 75872.62, Среднее на складе: 7.50
Цикл №197: Общая прибыль: 100470.99, Общие затраты: 25090.00, Разница: 75380.99, Среднее на складе: 0.10
Цикл №198: Общая прибыль: 99851.60, Общие затраты: 23530.00, Разница: 76321.60, Среднее на складе: 6.50
Цикл №199: Общая прибыль: 99245.35, Общие затраты: 24710.00, Разница: 74535.35, Среднее на складе: 4.00
Цикл №200: Общая прибыль: 99860.19, Общие затраты: 25230.00, Разница: 74630.19, Среднее на складе: 3.70
Цикл №201: Общая прибыль: 99869.28, Общие затраты: 25560.00, Разница: 74309.28, Среднее на складе: 2.60
Цикл №202: Общая прибыль: 100441.76, Общие затраты: 24710.00, Разница: 75731.76, Среднее на складе: 1.80
Цикл №203: Общая прибыль: 100547.83, Общие затраты: 24310.00, Разница: 76237.83, Среднее на складе: 1.10
Цикл №204: Общая прибыль: 99810.26, Общие затраты: 24320.00, Разница: 75490.26, Среднее на складе: 4.50
Цикл №205: Общая прибыль: 100276.49, Общие затраты: 24830.00, Разница: 75446.49, Среднее на складе: 1.90
Цикл №206: Общая прибыль: 99855.56, Общие затраты: 23680.00, Разница: 76175.56, Среднее на складе: 5.80
Цикл №207: Общая прибыль: 101085.25, Общие затраты: 24400.00, Разница: 76685.25, Среднее на складе: 2.00
Цикл №208: Общая прибыль: 100669.37, Общие затраты: 24380.00, Разница: 76289.37, Среднее на складе: 5.10
Цикл №209: Общая прибыль: 99938.33, Общие затраты: 23450.00, Разница: 76488.33, Среднее на складе: 5.70
Цикл №210: Общая прибыль: 100595.46, Общие затраты: 22160.00, Разница: 78435.46, Среднее на складе: 9.30
Цикл №211: Общая прибыль: 99844.21, Общие затраты: 26450.00, Разница: 73394.21, Среднее на складе: -0.60
Цикл №212: Общая прибыль: 100236.38, Общие затраты: 24040.00, Разница: 76196.38, Среднее на складе: 6.10
Цикл №213: Общая прибыль: 100191.93, Общие затраты: 25160.00, Разница: 75031.93, Среднее на складе: 1.90
Цикл №214: Общая прибыль: 100330.43, Общие затраты: 25420.00, Разница: 74910.43, Среднее на складе: 2.30
Цикл №215: Общая прибыль: 100136.95, Общие затраты: 25700.00, Разница: 74436.95, Среднее на складе: -0.40
Цикл №216: Общая прибыль: 99964.36, Общие затраты: 24380.00, Разница: 75584.36, Среднее на складе: 6.20
Цикл №217: Общая прибыль: 100166.44, Общие затраты: 24010.00, Разница: 76156.44, Среднее на складе: 3.60
Цикл №218: Общая прибыль: 99894.54, Общие затраты: 23850.00, Разница: 76044.54, Среднее на складе: 5.30
Цикл №219: Общая прибыль: 99889.41, Общие затраты: 25650.00, Разница: 74239.41, Среднее на складе: 4.60
Цикл №220: Общая прибыль: 100161.24, Общие затраты: 26180.00, Разница: 73981.24, Среднее на складе: 1.10
Цикл №221: Общая прибыль: 100043.59, Общие затраты: 25620.00, Разница: 74423.59, Среднее на складе: -0.10
Цикл №222: Общая прибыль: 100266.31, Общие затраты: 24330.00, Разница: 75936.31, Среднее на складе: 0.20
Цикл №223: Общая прибыль: 99690.39, Общие затраты: 26410.00, Разница: 73280.39, Среднее на складе: 0.10
Цикл №224: Общая прибыль: 99804.44, Общие затраты: 24320.00, Разница: 75484.44, Среднее на складе: 5.60
Цикл №225: Общая прибыль: 100137.66, Общие затраты: 25910.00, Разница: 74227.66, Среднее на складе: 0.60
Цикл №226: Общая прибыль: 99993.59, Общие затраты: 23260.00, Разница: 76733.59, Среднее на складе: 9.30
Цикл №227: Общая прибыль: 99842.82, Общие затраты: 24460.00, Разница: 75382.82, Среднее на складе: 5.90
Цикл №228: Общая прибыль: 100724.88, Общие затраты: 24040.00, Разница: 76684.88, Среднее на складе: -0.50
Цикл №229: Общая прибыль: 100522.15, Общие затраты: 25750.00, Разница: 74772.15, Среднее на складе: 0.10
Цикл №230: Общая прибыль: 100643.37, Общие затраты: 24240.00, Разница: 76403.37, Среднее на складе: 2.60
Цикл №231: Общая прибыль: 99830.92, Общие затраты: 23000.00, Разница: 76830.92, Среднее на складе: 11.10
Цикл №232: Общая прибыль: 99815.93, Общие затраты: 24610.00, Разница: 75205.93, Среднее на складе: 4.10
Цикл №233: Общая прибыль: 100611.64, Общие затраты: 23390.00, Разница: 77221.64, Среднее на складе: 4.00
Цикл №234: Общая прибыль: 99526.82, Общие затраты: 23530.00, Разница: 75996.82, Среднее на складе: 9.80
Цикл №235: Общая прибыль: 99552.11, Общие затраты: 24460.00, Разница: 75092.11, Среднее на складе: 3.70
